Issuance Date/Time (Pacific),Valid Date/Time (Pacific),Stage (Feet),Flow (CFS),Trend,Threshold Exceedance Status,Observed/Forecast
04/01/2025 07:57 AM,03/27/2025 07 AM,9.56,2170,,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 08 AM,9.59,2198,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 09 AM,9.65,2255,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 10 AM,9.70,2302,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 11 AM,9.79,2389,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 12 PM,9.79,2389,0,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 01 PM,9.77,2369,-,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 02 PM,9.76,2360,-,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 03 PM,9.78,2379,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 04 PM,9.84,2437,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 05 PM,9.92,2516,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 06 PM,10.15,2750,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 07 PM,10.31,2919,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 08 PM,10.31,2919,0,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 09 PM,10.32,2929,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 10 PM,10.41,3026,+,Normal,Observed
04/01/2025 07:57 AM,03/27/2025 11 PM,10.49,3114,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 12 AM,10.60,3236,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 01 AM,10.84,3547,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 02 AM,11.03,3816,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 03 AM,11.16,4006,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 04 AM,11.32,4245,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 05 AM,11.46,4459,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 06 AM,11.56,4615,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 07 AM,11.58,4647,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 08 AM,11.63,4726,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 09 AM,11.65,4758,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 10 AM,11.72,4871,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 11 AM,11.79,4984,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 12 PM,11.88,5133,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 01 PM,11.94,5232,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 02 PM,11.99,5316,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 03 PM,12.01,5350,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 04 PM,12.02,5367,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 05 PM,12.02,5367,0,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 06 PM,12.05,5418,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 07 PM,12.08,5469,+,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 08 PM,12.07,5452,-,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 09 PM,12.05,5418,-,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 10 PM,11.99,5316,-,Normal,Observed
04/01/2025 07:57 AM,03/28/2025 11 PM,11.92,5199,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 12 AM,11.86,5099,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 01 AM,11.80,5001,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 02 AM,11.73,4887,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 03 AM,11.68,4806,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 04 AM,11.63,4726,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 05 AM,11.57,4631,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 06 AM,11.53,4568,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 07 AM,11.46,4459,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 08 AM,11.43,4413,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 09 AM,11.38,4336,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 10 AM,11.36,4305,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 11 AM,11.29,4199,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 12 PM,11.28,4184,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 01 PM,11.23,4109,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 02 PM,11.23,4109,0,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 03 PM,11.19,4050,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 04 PM,11.15,3991,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 05 PM,11.13,3961,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 06 PM,11.09,3903,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 07 PM,11.06,3860,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 08 PM,11.04,3831,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 09 PM,11.01,3788,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 10 PM,10.98,3745,-,Normal,Observed
04/01/2025 07:57 AM,03/29/2025 11 PM,10.96,3716,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 12 AM,10.94,3688,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 01 AM,10.91,3645,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 02 AM,10.89,3617,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 03 AM,10.87,3589,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 04 AM,10.85,3561,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 05 AM,10.83,3534,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 06 AM,10.82,3520,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 07 AM,10.80,3492,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 08 AM,10.79,3478,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 09 AM,10.79,3478,0,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 10 AM,10.79,3478,0,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 11 AM,10.80,3492,+,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 12 PM,10.80,3492,0,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 01 PM,10.81,3506,+,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 02 PM,10.80,3492,-,Normal,Observed
